city_name,lat,lon,mean_temp,max_temp,mean_rain
Ambato,-1.254341,-78.62285,13.046629,26.81,0.5090809
Cuenca,-2.900129,-79.0059,17.601885,28.39,0.4937374
Esmeraldas,0.97058094,-79.653,26.038498,35.35,0.6295758
Guayaquil,-2.189134,-79.8899,24.812672,34.9,0.7574653
Ibarra,0.347147,-78.13236,17.411364,28.29,0.62047964
Lago Agrio,0.112778,-76.91194,24.659725,37.88,0.89321846
Loja,-3.995207,-79.20221,16.730993,29.07,0.50477564
Machala,-3.258111,-79.95539,23.887968,32.68,0.5421156
Manta,-0.967653,-80.70891,25.0391,34.64,0.5450334
Puerto Morona,-2.882745,-77.68781,24.989014,38.93,0.7866459
Puyo,-1.492881,-77.9998,20.749138,34.8,0.6283502
Quevedo,-1.022512,-79.4604,23.17028,36.99,1.078641
Quito,-0.223252,-78.51411,13.121547,25.39,0.71188533
Santa Cruz Island,-0.639359,-90.33719,19.258661,32.92,0.57960755
Santo Domingo,-0.253841,-79.17633,22.30575,30.87,0.63743114
Zamora,-4.062094,-78.94862,24.99597,35.67,0.4783612
