city_name,start,end,count,span_years
Quito,1978-12-31 19:00:00,2024-10-19 18:00:00,411112,45.79876796714579
Guayaquil,1978-12-31 19:00:00,2024-10-19 18:00:00,404863,45.79876796714579
Puyo,1978-12-31 19:00:00,2024-10-19 18:00:00,403356,45.79876796714579
Santo Domingo,1978-12-31 19:00:00,2024-10-19 18:00:00,403049,45.79876796714579
Ambato,1978-12-31 19:00:00,2024-10-19 18:00:00,402756,45.79876796714579
Cuenca,1978-12-31 19:00:00,2024-10-19 18:00:00,402742,45.79876796714579
Machala,1978-12-31 19:00:00,2024-10-19 18:00:00,402243,45.79876796714579
Loja,1978-12-31 19:00:00,2024-10-19 18:00:00,402203,45.79876796714579
Quevedo,1978-12-31 19:00:00,2024-10-19 18:00:00,402121,45.79876796714579
Lago Agrio,1978-12-31 19:00:00,2024-10-19 18:00:00,401840,45.79876796714579
Manta,1978-12-31 19:00:00,2024-10-19 18:00:00,401766,45.79876796714579
Esmeraldas,1978-12-31 19:00:00,2024-10-19 18:00:00,401736,45.79876796714579
Ibarra,1978-12-31 19:00:00,2024-10-19 18:00:00,401583,45.79876796714579
Puerto Morona,1978-12-31 19:00:00,2024-10-19 18:00:00,401496,45.79876796714579
Santa Cruz Island,1978-12-31 19:00:00,2024-10-19 17:00:00,401496,45.79876796714579
Zamora,1978-12-31 19:00:00,2024-10-19 18:00:00,401496,45.79876796714579
