city_name,slope_°C/yr,r,p_value,significant
Ibarra,0.0302,0.736,0.0,⚠️ YES
Quevedo,0.0286,0.57,0.0,⚠️ YES
Santo Domingo,0.0272,0.617,0.0,⚠️ YES
Quito,0.026,0.643,0.0,⚠️ YES
Guayaquil,0.0255,0.443,0.0018,⚠️ YES
Puerto Morona,0.0249,0.577,0.0,⚠️ YES
Esmeraldas,0.0202,0.531,0.0001,⚠️ YES
Ambato,0.0199,0.508,0.0003,⚠️ YES
Puyo,0.0197,0.499,0.0004,⚠️ YES
Lago Agrio,0.0197,0.539,0.0001,⚠️ YES
Machala,0.0161,0.314,0.0316,⚠️ YES
Manta,0.0129,0.264,0.073,no
Loja,0.0107,0.33,0.0234,⚠️ YES
Santa Cruz Island,0.0086,0.157,0.2922,no
Cuenca,0.0023,0.063,0.6748,no
Zamora,0.0021,0.069,0.6432,no
